SNo,Date,Price,Open,High,Low,Vol.,Change %
88,05-29-2021,0.83041,0.89913,0.93847,0.79482,147000000,-7.65
87,05-30-2021,0.90612,0.83044,0.92998,0.79877,121000000,9.12
86,05-31-2021,1.04293,0.90591,1.04892,0.88318,178000000,15.1
85,06-01-2021,1.01063,1.04122,1.0973,0.97712,161000000,-3.1
84,06-02-2021,1.02441,1.01061,1.04772,0.98136,950130000,1.36
83,06-03-2021,1.04426,1.02441,1.0773,1.00778,974270000,1.94
82,06-04-2021,0.96927,1.04426,1.04594,0.91895,127000000,-7.18
81,06-05-2021,0.92274,0.96885,0.9972,0.89686,898300000,-4.8
80,06-06-2021,0.94493,0.92274,0.94784,0.91773,559240000,2.41
79,06-07-2021,0.86345,0.94516,0.97376,0.84842,993300000,-8.62
78,06-08-2021,0.87393,0.86345,0.88383,0.78577,137000000,1.21
77,06-09-2021,0.9197,0.87383,0.9197,0.83149,113000000,5.24
76,06-10-2021,0.86841,0.91975,0.92699,0.85342,838310000,-5.58
75,06-11-2021,0.84748,0.86852,0.87919,0.83437,568450000,-2.41
74,06-12-2021,0.83121,0.84748,0.84757,0.80638,558730000,-1.92
73,06-13-2021,0.88326,0.83164,0.88784,0.8185,503670000,6.26
72,06-14-2021,0.89031,0.88326,0.92692,0.86323,659190000,0.8
71,06-15-2021,0.86663,0.89031,0.90115,0.85949,537370000,-2.66
70,06-16-2021,0.83195,0.86663,0.87309,0.82643,603790000,-4
69,06-17-2021,0.84118,0.8318,0.86084,0.82488,475790000,1.11
68,06-18-2021,0.79581,0.84118,0.84449,0.77191,617480000,-5.39
67,06-19-2021,0.75977,0.79691,0.80499,0.75589,459270000,-4.53
66,06-20-2021,0.77421,0.75965,0.78412,0.69806,866850000,1.9
65,06-21-2021,0.60732,0.77421,0.77885,0.60524,159000000,-21.56
64,06-22-2021,0.54493,0.60653,0.64888,0.51017,231000000,-10.27
63,06-23-2021,0.63785,0.54681,0.66335,0.52269,170000000,17.05
62,06-24-2021,0.67224,0.63827,0.69153,0.61716,928590000,5.39
61,06-25-2021,0.6118,0.67239,0.6881,0.60365,113000000,-8.99
60,06-26-2021,0.61663,0.61169,0.63173,0.58214,752440000,0.79
59,06-27-2021,0.64747,0.61669,0.65127,0.59735,647730000,5
58,06-28-2021,0.64393,0.64747,0.6555,0.62436,636010000,-0.55
57,06-29-2021,0.70523,0.64393,0.72851,0.64228,101000000,9.52
56,06-30-2021,0.70537,0.70599,0.714,0.64915,894670000,0.02
55,07-01-2021,0.65997,0.70533,0.70542,0.64673,679690000,-6.44
54,07-02-2021,0.65631,0.65989,0.6671,0.63368,521330000,-0.55
53,07-03-2021,0.67644,0.65631,0.68013,0.64387,436320000,3.07
52,07-04-2021,0.69589,0.67644,0.70881,0.67644,446370000,2.88
51,07-05-2021,0.65297,0.69595,0.69614,0.64605,600330000,-6.17
50,07-06-2021,0.66482,0.65292,0.67941,0.65185,486930000,1.81
49,07-07-2021,0.65207,0.66481,0.67327,0.65032,394690000,-1.92
48,07-08-2021,0.6231,0.6521,0.65382,0.61152,616300000,-4.44
47,07-09-2021,0.63706,0.62307,0.64523,0.5934,519780000,2.24
46,07-10-2021,0.62511,0.6371,0.64841,0.61332,388830000,-1.88
45,07-11-2021,0.6361,0.6247,0.64359,0.61714,277980000,1.76
44,07-12-2021,0.62899,0.63617,0.65701,0.61897,484430000,-1.12
43,07-13-2021,0.6194,0.62899,0.63948,0.6102,438170000,-1.52
42,07-14-2021,0.61985,0.61918,0.62455,0.5869,488040000,0.07
41,07-15-2021,0.59744,0.61985,0.62613,0.58871,465250000,-3.62
40,07-16-2021,0.5893,0.59773,0.61707,0.58802,407510000,-1.36
39,07-17-2021,0.58164,0.58928,0.59714,0.56785,388910000,-1.3
38,07-18-2021,0.58677,0.58167,0.60112,0.5728,326270000,0.88
37,07-19-2021,0.55711,0.58674,0.58871,0.55441,443790000,-5.06
36,07-20-2021,0.52864,0.55711,0.5692,0.51755,574850000,-5.11
35,07-21-2021,0.57139,0.52863,0.58313,0.51981,673860000,8.09
34,07-22-2021,0.59192,0.5714,0.60286,0.56107,588630000,3.59
33,07-23-2021,0.60902,0.59191,0.60974,0.57613,489180000,2.89
32,07-24-2021,0.60665,0.60909,0.61383,0.60219,463400000,-0.39
31,07-25-2021,0.60685,0.60496,0.60709,0.59105,339100000,0.03
